Starting up http-server, serving web-admin/dist/daedalus-web-admin/browser

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:4200
  http://192.168.0.2:4200
Hit CTRL-C to stop the server

[2026-09-09T03:11:59.984Z]  "GET /" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
(node:3335201) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2026-09-09T03:12:00.019Z]  "GET /chunk-FWBNIQZM.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.025Z]  "GET /chunk-P2NONKOF.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.026Z]  "GET /chunk-VF6WWLP2.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.027Z]  "GET /chunk-ESJYUATY.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.028Z]  "GET /polyfills-OCYAX7SR.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.029Z]  "GET /main-4NCBFIR2.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.046Z]  "GET /styles-26L77SPT.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.227Z]  "GET /chunk-DWTSTJT6.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.251Z]  "GET /rest-api/auth/status" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.253Z]  "GET /rest-api/auth/status" Error (404): "Not found"
[2026-09-09T03:12:00.267Z]  "GET /rest-api/auth/status" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.269Z]  "GET /rest-api/auth/status" Error (404): "Not found"
[2026-09-09T03:12:00.278Z]  "GET /chunk-WVOW4Y5R.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.283Z]  "GET /chunk-MP6L54F6.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.287Z]  "GET /chunk-RMA36GQ4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.292Z]  "GET /rest-api/auth/status" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.293Z]  "GET /rest-api/auth/status" Error (404): "Not found"
[2026-09-09T03:12:00.299Z]  "GET /chunk-TTJRUZ2Z.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.301Z]  "GET /chunk-LVANQVBG.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.306Z]  "GET /chunk-TXJ6Z6HB.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.326Z]  "GET /chunk-VNKJN4F4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.327Z]  "GET /chunk-ZI65DRRC.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.328Z]  "GET /chunk-PW3JQNF4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.533Z]  "GET /chunk-CBLL6IAV.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.543Z]  "GET /rest-api/tenants/default" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.544Z]  "GET /rest-api/tenants/default/summary" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.550Z]  "GET /rest-api/tenants/default/metrics/tsdb?resolution=5&startTime=1788922920&endTime=1788923520" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.552Z]  "GET /rest-api/tenants/default" Error (404): "Not found"
[2026-09-09T03:12:00.553Z]  "GET /rest-api/tenants/default/summary" Error (404): "Not found"
[2026-09-09T03:12:00.554Z]  "GET /rest-api/tenants/default/metrics/tsdb?resolution=5&startTime=1788922920&endTime=1788923520" Error (404): "Not found"
